_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,powerLevel,generic,deleted
385,"kokusai","Other SMG","","","その他のSMG","","",8,2,0,true,
386,"kokusai","Other SMG","","","その他のSMG","","",8,4,0,true,
387,"kokusai","Other Handgun","","","その他のハンドガン","","",1,1,2,true,
388,"kokusai","Other Handgun","","","その他のハンドガン","","",1,2,2,true,
389,"kokusai","Other Handgun","","","その他のハンドガン","","",1,4,2,true,
390,"kokusai","Other Rifle","","","その他のライフル","","",2,1,2,true,
391,"kokusai","Other Rifle","","","その他のライフル","","",2,2,2,true,
392,"kokusai","Other Rifle","","","その他のライフル","","",2,4,2,true,
393,"kokusai","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
394,"kokusai","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
395,"kokusai","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
396,"kokusai","Other SMG","","","その他のSMG","","",8,1,2,true,
397,"kokusai","Other SMG","","","その他のSMG","","",8,2,2,true,
398,"kokusai","Other SMG","","","その他のSMG","","",8,4,2,true,

400,"sunproject","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
401,"sunproject","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
402,"sunproject","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
403,"sunproject","Other Rifle","","","その他のライフル","","",2,1,0,true,
404,"sunproject","Other Rifle","","","その他のライフル","","",2,2,0,true,
405,"sunproject","Other Rifle","","","その他のライフル","","",2,4,0,true,
406,"sunproject","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
407,"sunproject","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
408,"sunproject","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
409,"sunproject","Other SMG","","","その他のSMG","","",8,1,0,true,
410,"sunproject","Other SMG","","","その他のSMG","","",8,2,0,true,
411,"sunproject","Other SMG","","","その他のSMG","","",8,4,0,true,
412,"sunproject","Other Handgun","","","その他のハンドガン","","",1,1,2,true,
413,"sunproject","Other Handgun","","","その他のハンドガン","","",1,2,2,true,
414,"sunproject","Other Handgun","","","その他のハンドガン","","",1,4,2,true,
415,"sunproject","Other Rifle","","","その他のライフル","","",2,1,2,true,
416,"sunproject","Other Rifle","","","その他のライフル","","",2,2,2,true,
417,"sunproject","Other Rifle","","","その他のライフル","","",2,4,2,true,
418,"sunproject","Other Shotgun","","","その他のショットガン","","",4,1,2,true,
419,"sunproject","Other Shotgun","","","その他のショットガン","","",4,2,2,true,
420,"sunproject","Other Shotgun","","","その他のショットガン","","",4,4,2,true,
421,"sunproject","Other SMG","","","その他のSMG","","",8,1,2,true,
422,"sunproject","Other SMG","","","その他のSMG","","",8,2,2,true,
423,"sunproject","Other SMG","","","その他のSMG","","",8,4,2,true,

425,"ares","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
